Product_ID,SKU,Product_Name,Product_Type,Color,Size,Dimention,Category,Description,Tags,Base_Price,Quantity,Discount_Type,Discount_Value,Discount_Start_Date,Discount_End_Date,Special_Offer_Code,Special_Discount_Type,Special_Discount_Value,Special_Discount_Start,Special_Discount_End
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-BEACH-SAND-LARGE,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG BEACH SAND,single,Beach Sand,Large,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,239,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEASHELL-LARGE,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG SEASHELL,single,Seashell,Large,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,239,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-DRIFTWOOD-LARGE,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG DRIFTWOOD,single,Driftwood,Large,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,239,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEAGRASS-LARGE,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG SEAGRASS,single,Seagrass,Large,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,239,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-TIDAL-BLUE-LARGE,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG TIDAL BLUE,single,Tidal Blue,Large,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,239,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-BEACH-SAND-MEDIUM,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG BEACH SAND,single,Beach Sand,Medium,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,199,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEASHELL-MEDIUM,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG SEASHELL,single,Seashell,Medium,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,199,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-DRIFTWOOD-MEDIUM,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG DRIFTWOOD,single,Driftwood,Medium,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,199,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEAGRASS-MEDIUM,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG SEAGRASS,single,Seagrass,Medium,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,199,99,,,,,,,,,
PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-TIDAL-BLUE-MEDIUM,DOOBSTA - VERSATILE FABRIC DOOB BEAN BAG TIDAL BLUE,single,Tidal Blue,Medium,"Physical, Mental, Social",Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,199,99,,,,,,,,,
PRD-OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APPLE-GREEN-LARGE,OOMPH - WATER-REPELLENT DOOB BEAN BAG CHAIR APPLE GREEN,single,Apple Green,Large,"Physical, Mental, Social",Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,299,99,,,,,,,,,
PRD-OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APRICOT-CRUSH-LARGE,OOMPH - WATER-REPELLENT DOOB BEAN BAG CHAIR APRICOT CRUSH,single,Apricot Crush,Large,"Physical, Mental, Social",Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,299,99,,,,,,,,,
PRD-OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CANDY-PINK-LARGE,OOMPH - WATER-REPELLENT DOOB BEAN BAG CHAIR CANDY PINK,single,Candy Pink,Large,"Physical, Mental, Social",Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,299,99,,,,,,,,,
