Variant_ID,Parent_Product_ID,Variant_Type,Product_IDs,Variant_Name,Option_Labels,Default_Option,Variant_Price_Adjustment
VAR-PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,Color,"DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-BEACH-SAND + 
DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEASHELL + 
DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-DRIFTWOOD + 
DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEAGRASS + 
DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-TIDAL-BLUE ",Choose Color,"Beach Sand + 
Seashell + 
Driftwood + 
Seagrass + 
Tidal Blue",A,
VAR-PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,PRD-DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG,Size,"DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-LARGE + 
DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-MEDIUM",Choose Size,Large + Medium,A,
VAR-PRD-OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR,PRD-OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR,Color,"OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APPLE-GREEN + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APRICOT-CRUSH + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CANDY-PINK + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CARIBBEAN-BLUE + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CHALK-VIOLET + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CHILI-RED + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-ASH-GREY + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-JET-BLACK + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-PEWTER-BLUE + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-SAGE-GREEN + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-WINE-RED + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-WINTER-WHEAT ",Choose Color,"Apple Green + 
Apricot Crush + 
Candy Pink + 
Caribbean Blue + 
Chalk Violet + 
Chili Red + 
Ash Grey + 
Jet Black + 
Pewter Blue + 
Sage Green + 
Wine Red + 
Winter Wheat",A,
VAR-PRD-OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR,PRD-OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR,Size,"OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-LARGE + 
OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-MEDIUM",Choose Size,Large + Medium,A,
VAR-PRD-FWOOA ---ULTRA-VERSATILE-DOOB-BEAN-BAG-WITH-ARMREST,PRD-FWOOA ---ULTRA-VERSATILE-DOOB-BEAN-BAG-WITH-ARMREST,Color,"FWOOA - ULTRA VERSATILE DOOB BEAN BAG WITH ARMREST GRAPHITE GREY + 
FWOOA - ULTRA VERSATILE DOOB BEAN BAG WITH ARMREST CHARCOAL BLACK + 
FWOOA - ULTRA VERSATILE DOOB BEAN BAG WITH ARMREST LIGHT GREY + 
FWOOA - ULTRA VERSATILE DOOB BEAN BAG WITH ARMREST DUSTY PINK + 
FWOOA - ULTRA VERSATILE DOOB BEAN BAG WITH ARMREST HEATHER GREY",Choose Color,"Graphite Grey + 
Charcoal Black + 
Light Grey + 
Dusty Pink + 
Heather Grey",A,
VAR-PRD-FWOOARMREST-–-VERSATILE-SPANDEX-DOOB-BEAN-BAG-ARMREST,PRD-FWOOARMREST-–-VERSATILE-SPANDEX-DOOB-BEAN-BAG-ARMREST,Color,"FWOOARMREST-–-VERSATILE-SPANDEX-DOOB-BEAN-BAG-ARMREST-GRAPHITE-GREY +
FWOOARMREST-–-VERSATILE-SPANDEX-DOOB-BEAN-BAG-ARMREST-CHARCOAL-BLACK + 
FWOOARMREST-–-VERSATILE-SPANDEX-DOOB-BEAN-BAG-ARMREST-LIGHT-GREY + 
FWOOARMREST-–-VERSATILE-SPANDEX-DOOB-BEAN-BAG-ARMREST-DUSTY-PINK + 
FWOOARMREST-–-VERSATILE-SPANDEX-DOOB-BEAN-BAG-ARMREST-HEATHER-GREY
",Choose Color,"Graphite Grey + 
Charcoal Black + 
Light Grey + 
Dusty Pink + 
Heather Grey",A,
VAR-PRD-FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER,PRD-FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER,Color,"FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER-POMEGRANATE + 
FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER-PERSIMMON + 
FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER-ELDERBERRY + 
FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER-EARL-GREY + 
FWOOMP---SPANDEX-DOOB-BEAN-BAG-LOUNGER-HUMMUS",Choose Color,"Pomegranate + 
Persimmon + 
Elderberry + 
Earl Grey + 
Hummus",A,
VAR-PRD-PLATOOPAT - DUMPLING-SHAPED DOOB BEAN BAG LOUNGER,PRD-PLATOOPAT - DUMPLING-SHAPED DOOB BEAN BAG LOUNGER,Color,"PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-APPLE + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-APRICOT + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-ASH + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-CARIBBEAN + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-CANDY + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-CHILI + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-JET + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-PEWTER + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-SAGE + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-VIOLET + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-WHEAT + 
PLATOOPAT---DUMPLING-SHAPED-DOOB-BEAN-BAG-LOUNGER-COLA-WINE",Choose Color,"Cola Apple + 
Cola Apricot + 
Cola Ash + 
Cola Caribbean + 
Cola Candy + 
Cola Chili + 
Cola Jet + 
Cola Pewter + 
Cola Sage + 
Cola Violet + 
Cola Wheat + 
Cola Wine",A,
VAR-PRD-HUGGU-THE-SENCHAISE----HUGGING-CHAIR,PRD-HUGGU-THE-SENCHAISE----HUGGING-CHAIR,Color,"HUGGU-THE-SENCHAISE---HUGGING-CHAIR-KIRI + 
HUGGU-THE-SENCHAISE---HUGGING-CHAIR-SUISEKI + 
HUGGU-THE-SENCHAISE---HUGGING-CHAIR-SAKURA + 
HUGGU-THE-SENCHAISE---HUGGING-CHAIR-KURO + 
HUGGU-THE-SENCHAISE---HUGGING-CHAIR-KASUMI",Choose Color,"Kiri + 
Suiseki + 
Sakura + 
Kuro + 
Kasumi",A,
VAR-PRD-HUGGU-DORAYA----FOOTSTOOL,PRD-HUGGU-DORAYA----FOOTSTOOL,Color,"HUGGU-DORAYA---FOOTSTOOL-KIRI + 
HUGGU-DORAYA---FOOTSTOOL-SUISEKI + 
HUGGU-DORAYA---FOOTSTOOL-SAKURA + 
HUGGU-DORAYA---FOOTSTOOL-KURO + 
HUGGU-DORAYA---FOOTSTOOL-KASUMI",Choose Color,"Kiri + 
Suiseki + 
Sakura + 
Kuro + 
Kasumi",A,
VAR-PRD-HUGGU-MOCHI---CUSHION,PRD-HUGGU-MOCHI---CUSHION,Color,"HUGGU-MOCHI---CUSHION-KIRI + 
HUGGU-MOCHI---CUSHION-SUISEKI + 
HUGGU-MOCHI---CUSHION-SAKURA + 
HUGGU-MOCHI---CUSHION-KURO + 
HUGGU-MOCHI---CUSHION-KASUMI",Choose Color,"Kiri + 
Suiseki + 
Sakura + 
Kuro + 
Kasumi",A,
