product_id,sku,name,dimensions,category,description,tags,base_price
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-BEACH-SAND-LARGE,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEASHELL-LARGE,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-DRIFTWOOD-LARGE,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEAGRASS-LARGE,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-TIDAL-BLUE-LARGE,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-BEACH-SAND-MEDIUM,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEASHELL-MEDIUM,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-DRIFTWOOD-MEDIUM,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-SEAGRASS-MEDIUM,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,DOOBSTA----VERSATILE-FABRIC-DOOB-BEAN-BAG-TIDAL-BLUE-MEDIUM,,,Home & Living,"Machine-washable fabric bean bag that is so versatile and high-quality your other furniture gets self-esteem issues. Double-layered for durability, safety, and ease of maintenance.

• Super versatile
• Machine-washable fabric cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Machine-washable Pile fabric cover; Sturdy fabric inner bag
Cleaning: Machine wash in cold water. Wash separately. Line dry.",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APPLE-GREEN-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APRICOT-CRUSH-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CANDY-PINK-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CARIBBEAN-BLUE-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CHALK-VIOLET-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CHILI-RED-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-ASH-GREY-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-JET-BLACK-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-PEWTER-BLUE-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-SAGE-GREEN-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-WINE-RED-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-WINTER-WHEAT-LARGE,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APPLE-GREEN-MEDIUM,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-APRICOT-CRUSH-MEDIUM,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CANDY-PINK-MEDIUM,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CARIBBEAN-BLUE-MEDIUM,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CHALK-VIOLET-MEDIUM,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
,OOMPH----WATER--REPELLENT-DOOB-BEAN-BAG-CHAIR-CHILI-RED-MEDIUM,,,Home & Living,"Bean bag couch for no-nonsense comfort. Double-layered with a durable inner bag and a removable outer cover means a safer, longer-lasting bean bag that is easier to maintain and safer.

• Couch-like comfort
• Water-repellent DRYXX™ cover
• Removable cover
• Child-safe zip for inner bag
• Protected by Speco®
• Made in Singapore

Material: Water-repellent DRYXX™ (polyester and polyurethane composite) cover; Sturdy fabric inner bag
Cleaning: Hand wash, rinse, or wipe with damp cloth",,
